Time_spent_seconds,Concentration std
30,0.137258545395
25,0.0375544955505
47,0.117168124398
7,0.0797937340898
10,0.0418090899207
10,0.0132476412995
25,0.0879156986438
41,0.0854151153806
25,0.0590344699011
205,0.0732742592678
60,0.0838475306732
111,0.120318060395
13,0.0310201547385
12,0.0548128634538
5,0.00880340843083
30,0.0698725805649
39,0.0442210259373
8,0.0188657538059
5,0.0186077940659
18,0.123974178516
8,0.0356588776542
5,0.00571547606649
32,0.0462692068894
9,0.0234207303952
111,0.107138920397
86,0.0623872494095
70,0.0876470914523
47,0.155365243779
11,0.0588196395773
12,0.026458458005
25,0.0272050648879
40,0.0994842603408
15,0.0108701425934
9,0.0
5,0.0
30,0.0412265286759
10,0.0
23,0.0236666299882
21,0.06058200996
21,0.0291356978445
44,0.0537202214102
22,0.0321215252991
125,0.17258667804
25,0.0503293010954
87,0.0957078025523
15,0.00933147302889
